S,C_0,C_5,C_10,C_25
101.55,2.7922199506118517,2.9588927655447037,3.6963565867860666,6.51078794501489
101.6,2.842219950611849,3.0025102787582796,3.7324356021150606,6.541445047776861
101.65,2.89221995061186,3.0463310861502606,3.7686793433920514,6.572177459804692
101.7,2.9422199506118574,3.090350512499583,3.805086764608191,6.6029850577542675
101.75,2.9922199506118545,3.1345639172383244,3.8416568111708074,6.633867717382039
101.8,3.0422199506118517,3.1789666971922514,3.8783884201779415,6.664825313551674
101.85,3.092219950611849,3.2235542892073425,3.9152805206932584,6.695857720240923
101.9,3.14221995061186,3.2683221726614704,3.952332034020529,6.7269648105484166
101.95,3.1922199506118574,3.3132658718603096,3.989541873978297,6.758146456700501
102,3.2422199506118545,3.3583809583167863,4.02690894717405,6.789402530058084
102.05,3.2922199506118517,3.40366305291424,4.064432153278247,6.820732901123456
102.1,3.342219950611849,3.4491078279525027,4.102110385297607,6.852137439547263
102.15,3.39221995061186,3.4947110090778892,4.139942529848,6.8836160141352565
102.2,3.4422199506118574,3.5404683770966017,4.177927467426656,6.915168492855315
102.25,3.4922199506118545,3.5863757696730687,4.2160640726834515,6.946794742844247
102.3,3.5422199506118517,3.632429082913106,4.254351214691695,6.978494630414872
102.35,3.592219950611849,3.6786242728336305,4.29278775721734,7.010268021062757
102.4,3.64221995061186,3.724957356719557,4.331372558987738,7.04211477947338
102.45,3.6922199506118574,3.7714244143697186,4.370104473958833,7.074034769528879
102.5,3.7422199506118545,3.8180215892328846,4.408982351581372,7.106027854315158
102.55,3.7922199506118517,3.8647450894358997,4.448005037065499,7.138093896128844
102.6,3.842219950611849,3.9115911887056427,4.487171371644266,7.170232756484239
102.65,3.89221995061186,3.958556227186776,4.526480192835265,7.2024442961203405
102.7,3.9422199506118574,4.005636612157502,4.565930334700965,7.234728375007833
102.75,3.9922199506118545,4.052828818645452,4.605520628107129,7.267084852356142
102.8,4.042219950611852,4.100129389946275,4.645249900979721,7.299513586620336
102.85,4.092219950611849,4.1475349380469595,4.685116978559677,7.332014435508363
102.9,4.14221995061186,4.195042143957096,4.725120683656058,7.364587255987864
102.95,4.192219950611857,4.242647757949953,4.765259836896888,7.3972319042932995
103,4.2422199506118545,4.29034859971695,4.805533256978208,7.429948235933054
103.05,4.292219950611852,4.338141558437485,4.8459397609108805,7.462736105696379
103.1,4.342219950611849,4.3860235927676,4.886478164265085,7.495595367660499
103.15,4.39221995061186,4.433991730750066,4.927147281412672,7.528525875197722
103.2,4.442219950611857,4.482043069648853,4.967945925767083,7.561527480982363
103.25,4.4922199506118545,4.530174775711274,5.008872910020926,7.594600036997889
103.3,4.542219950611852,4.5783840838602,5.0499270463810575,7.627743394544048
103.35,4.592219950611849,4.626668297320123,5.0911071468010505,7.6609574042437885
103.4,4.64221995061186,4.675024787179552,5.132412023211188,7.694241916050466
103.45,4.692219950611857,4.723450991892861,5.173840487745707,7.727596779254796
103.5,4.7422199506118545,4.771944416725006,5.2153913529674725,7.761021842492063
103.55,4.792219950611852,4.820502633141587,5.2570634320897085,7.794516953749039
103.6,4.842219950611849,4.869123278147782,5.298855539195131,7.828081960371151
103.65,4.89221995061186,4.917804053578806,5.340766489452008,7.861716709069533
103.7,4.942219950611857,4.966542725344809,5.382795099327467,7.895421045928089
103.75,4.9922199506118545,5.015337122633724,5.424940186797954,7.929194816410572
103.8,5.042219950611852,5.064185137074034,5.467200571556361,7.963037865367589
103.85,5.092219950611849,5.113084721861142,5.509575075216517,7.996950037043781
103.9,5.14221995061186,5.162033890849656,5.552062521514273,8.030931175084767
103.95,5.192219950611857,5.211030717614477,5.594661736505785,8.06498112254424
104,5.2422199506118545,5.260073334483451,5.637371548762502,8.09909972189108
104.05,5.292219950611852,5.309159931544087,5.680190789562886,8.13328681501632
104.1,5.342219950611849,5.3582887556269725,5.7231182930812,8.167542243240206
104.15,5.39221995061186,5.407458109268319,5.766152896572876,8.201865847319304
104.2,5.442219950611857,5.4566663496541565,5.809293440556573,8.23625746745342
104.25,5.4922199506118545,5.505911887548649,5.852538768993199,8.27071694329274
104.3,5.542219950611852,5.555193186208342,5.895887729461364,8.30524411394478
104.35,5.592219950611849,5.604508760285157,5.939339173329728,8.339838817981438
104.4,5.64221995061186,5.653857174719818,5.982891955925851,8.374500893445969
104.45,5.692219950611857,5.7032370436280075,6.026544936701782,8.409230177860053
104.5,5.7422199506118545,5.752647029181176,6.070296979396147,8.444026508230678
104.55,5.792219950611852,5.8020858404836275,6.114146952193082,8.478889721057243
104.6,5.842219950611849,5.85155223244837,6.158093727877542,8.513819652338455
104.65,5.89221995061186,5.901045004672525,6.202136183987221,8.548816137579337
104.7,5.942219950611857,5.950563000314901,6.246273202961177,8.58387901179816
104.75,5.9922199506118545,6.000105104976569,6.290503672285055,8.619008109533397
104.8,6.042219950611852,6.049670245586356,6.334826484632572,8.654203264850693
104.85,6.092219950611849,6.099257389292461,6.379240538004041,8.689464311349766
104.9,6.14221995061186,6.148865542361634,6.423744735861092,8.724791082171308
104.95,6.192219950611857,6.198493749087149,6.468337987258025,8.760183410003904
105,6.2422199506118545,6.248141090706753,6.513019206969872,8.795641127090974
105.05,6.292219950611852,6.297806684331675,6.5577873156169915,8.831164065237559
105.1,6.342219950611849,6.347489681887609,6.602641239786081,8.866752055817273
105.15,6.39221995061186,6.397189269069031,6.647579912147975,8.902404929779195
105.2,6.442219950611857,6.44690466430707,6.692602271571886,8.938122517654477
105.25,6.4922199506118545,6.496635117752632,6.737707263236388,8.973904649563536
105.3,6.542219950611852,6.5463799102744105,6.782893838736825,9.009751155222588
105.35,6.592219950611849,6.596138352473645,6.8281609561895635,9.04566186395057
105.4,6.64221995061186,6.645909783715382,6.8735075803327845,9.081636604675936
105.45,6.692219950611857,6.695693571177003,6.918932682623648,9.117675205943343
105.5,6.7422199506118545,6.745489108914995,6.964435241332794,9.153777495920465
105.55,6.792219950611852,6.795295816949505,7.010014241634849,9.189943302404828
105.6,6.842219950611849,6.845113140367957,7.0556686756960545,9.226172452830383
105.65,6.89221995061186,6.894940548447494,7.101397542758363,9.262464774274292
105.7,6.942219950611857,6.944777533796582,7.147199849220499,9.298820093463618
105.75,6.9922199506118545,6.994623611516374,7.193074608715705,9.335238236782004
105.8,7.042219950611852,7.044478318381522,7.23902084218615,9.371719030276338
105.85,7.092219950611849,7.094341212040845,7.285037577954498,9.408262299663434
105.9,7.14221995061186,7.14421187023801,7.331123851791773,9.444867870336523
105.95,7.192219950611857,7.194089890051885,7.377278706982693,9.48153556737202
106,7.2422199506118545,7.243974887157222,7.423501194387555,9.518265215536076
106.05,7.292219950611852,7.293866495104908,7.469790372500967,9.555056639291081
106.1,7.342219950611849,7.343764364622345,7.516145307507898,9.591909662802266
106.15,7.39221995061186,7.393668162933395,7.5625650733363585,9.628824109944233
106.2,7.442219950611857,7.443577573098281,7.6090487517072205,9.665799804307483
106.25,7.4922199506118545,7.493492293372498,7.655595432181258,9.702836569204948
106.3,7.542219950611852,7.5434120365857495,7.702204212202915,9.73993422767829
106.35,7.592219950611849,7.593336529539229,7.748874197141561,9.77709260250461
106.4,7.64221995061186,7.643265512422417,7.795604500329574,9.814311516202679
106.45,7.692219950611857,7.693198738248213,7.842394243097871,9.851590791039456
106.5,7.7422199506118545,7.743135972306618,7.889242554808433,9.888930249036477
106.55,7.792219950611852,7.793076991636326,7.9361485728843775,9.926329711976138
106.6,7.842219950611849,7.843021584514389,7.983111442836915,9.963789001408188
106.65,7.89221995061186,7.892969549963212,8.030130318290077,10.001307938655899
106.7,7.942219950611857,7.94292069727463,8.077204361002416,10.038886344822558
106.75,7.9922199506118545,7.992874845551157,8.12433274088643,10.076524040797509
106.8,8.042219950611852,8.042831823263427,8.171514636025307,10.114220847262644
106.85,8.092219950611849,8.092791467823872,8.218749232687045,10.15197658469853
106.9,8.14221995061186,8.14275362517617,8.266035725336337,10.189791073390595
106.95,8.192219950611857,8.192718149400136,8.313373316643691,10.22766413343544
107,8.242219950611855,8.242684902331675,8.360761217492637,10.265595584746862
107.05,8.292219950611852,8.2926537531973,8.408198646984033,10.303585247062102
107.1,8.342219950611849,8.342624578263028,8.455684832438521,10.341632939947957
107.15,8.39221995061186,8.392597260497155,8.503219009396375,10.379738482806786
107.2,8.442219950611857,8.44257168924645,8.550800421615335,10.417901694882673
107.25,8.492219950611855,8.492547759925742,8.598428321066208,10.4561223952675
107.3,8.542219950611852,8.54252537372001,8.6461019679262,10.49440040290682
107.35,8.592219950611849,8.592504437299013,8.693820630570386,10.532735536606026
107.4,8.64221995061186,8.64248486254381,8.741583585560932,10.57112761503626
107.45,8.692219950611857,8.692466566285006,8.789390117634142,10.609576456740257
107.5,8.742219950611855,8.742449470052264,8.83723951968615,10.648081880138434
107.55,8.792219950611852,8.792433499834615,8.885131092755898,10.686643703534699
107.6,8.842219950611849,8.842418585851433,8.933064146006785,10.725261745122296
107.65,8.89221995061186,8.892404662333462,8.981037996706178,10.763935822989666
107.7,8.942219950611857,8.942391667313629,9.029051970203383,10.802665755126355
107.75,8.992219950611855,8.992379542427685,9.07710539990542,10.841451359428632
107.8,9.042219950611852,9.04236823272349,9.125197627251652,10.88029245370538
107.85,9.092219950611849,9.092357686479474,9.173328001686215,10.9191888556838
107.9,9.14221995061186,9.142347855031403,9.221495880629178,10.958140383015134
107.95,9.192219950611857,9.192338692607322,9.269700629445836,10.997146853280242
