month,corp_index,high_yield_index,corp_return,high_yield_return,corp_growth,high_yield_growth
2015-03-31,2653.93,1074.85,0.0037139150791758446,-0.005311912936451391,7.896251115739348,10.660021818903125
2015-04-30,2639.76,1087.74,-0.005339251600456563,0.011992371028515691,7.85409104433203,10.787860755727484
2015-05-31,2626.42,1090.96,-0.00505348971118591,0.002960266240094267,7.814400476048781,10.819795695725503
2015-06-30,2583.36,1074.32,-0.016394940641633826,-0.015252621544328049,7.686283844094006,10.654765446791652
2015-07-31,2597.28,1067.71,0.005388331475288055,-0.006152729168217963,7.727700089259136,10.589209560646657
2015-08-31,2579.86,1048.9,-0.006707016571182223,-0.017617143231776322,7.675870276703348,10.402657939105449
2015-09-30,2593.38,1021.69,0.005240594450861558,-0.02594146248450757,7.716096399880973,10.132797778438979
2015-10-31,2607.28,1049.54,0.005359800723380381,0.027258757548767054,7.757453138946728,10.409005256372133
2015-11-30,2601.44,1025.98,-0.00223988217606097,-0.022447929569144542,7.740077357929173,10.175344639492236
2015-12-31,2578.89,999.52,-0.008668276031736366,-0.025789976412795568,7.67298423088365,9.912922741247666
2016-01-31,2590.2,983.71,0.0043856077614787825,-0.015817592444373196,7.706634930080318,9.75612416939405
2016-02-29,2609.23,988.28,0.007346923017527596,0.004645678096186767,7.7632549836358065,9.801447981751483
2016-03-31,2680.05,1031.97,0.027142107058404363,0.04420811915651446,7.973966081523341,10.23475156203513
2016-04-30,2716.51,1073.2,0.013604223801794824,0.0399527118036378,8.082445700684305,10.643657641574952
2016-05-31,2714.74,1080.95,-6.515713176098448e-4,0.007221393961982958,8.0771794108896,10.720519686601236
2016-06-30,2773.91,1092.66,0.021795825751268927,0.010833063508950413,8.253228205891087,10.83665575721514
2016-07-31,2814.14,1120.26,0.01450299396880217,0.025259458568996696,8.372924724784273,11.110383814340995
2016-08-31,2821.85,1145.22,0.002739735762968376,0.02228054201703178,8.395864326093408,11.35792918774177
2016-09-30,2813.72,1152.62,-0.0028810886475184594,0.006461640558145909,8.371675096697395,11.43132004363783
2016-10-31,2790.43,1156.23,-0.008277298380791276,0.0031319949332826447,8.30238024397499,11.467122880095237
2016-11-30,2715.67,1151.67,-0.026791569758065847,-0.003943852001764281,8.079946444510547,11.421898244570096
2016-12-31,2732.66,1174.32,0.0062562829798906705,0.019667092135768005,8.130496875929767,11.646533769711423
2017-01-31,2743.87,1190.09,0.004102230061551859,0.013429048300293012,8.163850044629559,11.802935634235872
2017-02-28,2774.91,1208.66,0.01131248929431794,0.015603861892798054,8.256203510859848,11.987107011802074
2017-03-31,2771.49,1206.12,-0.0012324724045104096,-0.0021015008356363163,8.246027967866691,11.961916096399909
2017-04-30,2799.14,1219.79,0.00997658299326365,0.011333863960468316,8.328295150252886,12.097490826143042
2017-05-31,2831.68,1230.68,0.011624999106868428,0.008927766254847258,8.425111573936313,12.205494396509007
2017-06-30,2838.63,1231.98,0.002454373375522678,0.0010563265836773805,8.44578994346919,12.218387384706965
2017-07-31,2859.84,1246.19,0.0074719142685026885,0.011534278153866095,8.508896161856574,12.359317663393863
2017-08-31,2884.06,1245.87,0.00846900525903549,-2.567826735891954e-4,8.580958048199925,12.356144004760518
2017-09-30,2877.48,1257.06,-0.002281505932608896,0.008981675455705718,8.561380541505487,12.467122880095241
2017-10-31,2889.09,1261.91,0.0040347804328788595,0.0038582088364915723,8.595923832192783,12.515223643756851
2017-11-30,2885.04,1258.53,-0.0014018254883025882,-0.0026784794478212914,8.583873847069308,12.48170187444216
2017-12-31,2909.64,1262.2,0.008526744863156077,0.0029161005299833676,8.657066349300786,12.518099771893317
2018-01-31,2882.75,1270.29,-0.009241693130421558,0.006409443828236272,8.57706039869085,12.598333829217523
2018-02-28,2839.61,1258.45,-0.01496487728731244,-0.009320706295412817,8.448705742338575,12.480908459783823
2018-03-31,2845.72,1250.68,0.0021517039311735875,-0.006174261988954655,8.466884855697693,12.403848061092958
2018-04-30,2821.48,1259,-0.008518055184628115,0.006652381104679028,8.394763463254968,12.486363185559883
2018-05-31,2834.18,1258.81,0.004501183775890594,-1.5091342335193936e-4,8.432549836358211,12.484478825746333
2018-06-30,2818.89,1263.15,-0.005394858477584363,0.003447700606128201,8.38705742338588,12.527521570961055
2018-07-31,2839.77,1277.27,0.007407170907697713,0.011178403198353282,8.449181791133574,12.667559258157326
2018-08-31,2855.22,1286.52,0.005440581455540272,0.007242008345925255,8.495150252900904,12.759297828027403
2018-09-30,2845.93,1293.99,-0.0032536897331904013,0.005806361346889277,8.467509669741132,12.833382921749509
2018-10-31,2807.48,1272.8,-0.013510522043760687,-0.016375706149197478,8.353109193692337,12.62322721412281
2018-11-30,2802.12,1261.25,-0.001909185461695273,-0.009074481458202333,8.337161559059787,12.508677972825577
2018-12-31,2844.18,1233.61,0.01501006380883041,-0.021914767096134824,8.462302886045801,12.234553208370553
2019-01-31,2903.72,1290.27,0.02093397745571668,0.045930237271098795,8.63945254388573,12.796489140136895
2019-02-28,2914.16,1312.05,0.003595387985067422,0.01688018786765566,8.670514727759578,13.012496280868822
2019-03-31,2986.72,1324.91,0.02489911329508332,0.009801455737205256,8.88640285629275,13.140037687196306
2019-04-30,3003.35,1343.45,0.005567980928911975,0.013993403325508913,8.935882177923219,13.323911534265632
2019-05-31,3046.43,1326.37,0.014343982552815993,-0.012713536045256713,9.064058315977368,13.154517504710933
2019-06-30,3116.5,1358.89,0.023000692613977636,0.024518045492585294,9.272537935138331,13.477040563324445
2019-07-31,3136.92,1365.85,0.006552222043959555,0.005121827373812282,9.333293662600397,13.54606763859966
2019-08-31,3232.16,1371.18,0.030360991035792928,0.003902331881246335,9.61666170782503,13.598928890211285
2019-09-30,3212.17,1375.53,-0.006184718578288173,0.003172450006563521,9.557185361499531,13.642070812258293
2019-10-31,3231.82,1378.72,0.006117359915571052,0.0023191060900162874,9.615650104135652,13.673708221759435
2019-11-30,3238.82,1382.49,0.0021659622132421674,0.0027344203319019655,9.636477238916967,13.711097887533509
