x,norm_density,lognorm_density
2.1900000000000004,0.03626186890490619,0.1339764966912971
2.2,0.035474592846231424,0.1328906860481874
2.21,0.03470093895391882,0.1318158226614166
2.2199999999999998,0.033940763182449214,0.13075177601607832
2.2300000000000004,0.03319392063586109,0.12969841733674434
2.24,0.032460265643697445,0.12865561956371557
2.25,0.03173965183566742,0.12762325732953095
2.26,0.03103193221500827,0.1266012069357388
2.2700000000000005,0.030336959230531597,0.12558934632992927
2.2800000000000002,0.02965458484734125,0.12458755508303027
2.29,0.028984660616209412,0.1235957143668674
2.3,0.028327037741601186,0.12261370693198856
2.3100000000000005,0.02768156714833653,0.12164141708575309
2.3200000000000003,0.02704809954688176,0.1206787306706865
