x,norm_cdf,norm_density,mixture_density,norm_density_one_two
-3.3,4.8342414238377744e-4,0.0017225689390536812,4.761653149014645e-4,0.01977502079468511
-3.25,5.770250423907671e-4,0.002029048057299768,8.849891890514571e-4,0.020860492628169306
-3.1999999999999993,6.871379379158502e-4,0.0023840882014648486,0.001580433487930915,0.021991797990213616
-3.1499999999999995,8.163523128285635e-4,0.002794258414879452,0.002711820427709307,0.023169970499354625
-3.0999999999999996,9.676032132183579e-4,0.0032668190561999247,0.00447080071791544,0.024396009289591382
-3.05,0.001144206831022699,0.0038097620982218104,0.007081827439057404,0.025670874600384724
-3,0.0013498980316300946,0.0044318484119380075,0.0107780094482433,0.02699548325659403
-2.9499999999999993,0.001588869647364872,0.005142640923053952,0.01576026305837663,0.02837070404991203
-2.8999999999999995,0.0018658133003840412,0.005952532419775864,0.0221421158586241,0.029797353034408055
-2.8499999999999996,0.002185961454913243,0.006872766690613978,0.029888559018912516,0.03127618874983
-2.8,0.002555130330427934,0.007915451582979969,0.03876330020491577,0.0328079073873383
-2.75,0.0029797632350545564,0.009093562501591053,0.04830213514889596,0.03439313791334595
-2.6999999999999993,0.0034669738030406756,0.010420934814422614,0.0578284859020946,0.03603243716810902
-2.6499999999999995,0.004024588542758314,0.011912243607605195,0.06651927636525529,0.037726284956645116
-2.5999999999999996,0.004661188023718754,0.013582969233685634,0.07351635482809088,0.03947507915044709
-2.55,0.005386145954066692,0.015449347134395174,0.07806423295799708,0.041279130819295816
-2.5,0.006209665325776135,0.01752830049356854,0.07964406532055172,0.043138659413255766
-2.4499999999999993,0.007142810735271434,0.019837354391795358,0.07807111592355229,0.045053788015649084
-2.3999999999999995,0.008197535924596143,0.02239453029484293,0.07353041784651602,0.04702453868844349
-2.3499999999999996,0.009386705534838587,0.025218219915194417,0.06654112317804889,0.049050827932048915
-2.3,0.01072411002167581,0.028327037741601186,0.05785904622161664,0.05113246228198902
-2.25,0.012224472655044706,0.03173965183566742,0.04834269409059887,0.05326913406529254
-2.1999999999999993,0.013903447513498637,0.03547459284623149,0.03881553838332471,0.05546041733972781
-2.1499999999999995,0.01577760739109053,0.03955004158937026,0.029954604037274787,0.05770576403917503
-2.0999999999999996,0.017864420562816574,0.04398359598042723,0.022224606102503302,0.06000450034849283
-2.05,0.020182215405704407,0.048792018579182764,0.015862424881530626,0.06235582333117861
-2,0.022750131948179212,0.05399096651318806,0.010903749013531567,0.06475879783294587
-1.9499999999999993,0.02558805952163866,0.059594706068816165,0.007235838646076566,0.06721235368403958
-1.8999999999999995,0.02871655981600184,0.06561581477467666,0.004658690810220897,0.06971528322268015
-1.8499999999999996,0.03215677479561374,0.07206487433621804,0.0029402550229163586,0.07226623916146645
-1.7999999999999998,0.03593031911292582,0.07895015830089418,0.0018573029101572652,0.07486373281787244
-1.75,0.0400591568638171,0.08627731882651153,0.0012195981008401371,0.07750613272914661
-1.6999999999999993,0.04456546275854311,0.09404907737688704,8.794477400626492e-4,0.08019166367095984
-1.6499999999999995,0.049471468033648144,0.1022649245639781,7.309437181516245e-4,0.0829184060980524
-1.5999999999999996,0.05479929169955803,0.11092083467945563,7.035036490518041e-4,0.0856842960239037
-1.5499999999999998,0.06057075800205902,0.12000900069698565,7.534270125230538e-4,0.08848712535508986
-1.5,0.06680720126885807,0.12951759566589174,8.558483416256478e-4,0.09132454269451096
-1.4499999999999993,0.07352925960964844,0.13943056644536042,9.982360953321148e-4,0.0941940546260632
-1.3999999999999995,0.08075665923377114,0.149727465635745,0.001175709949235712,0.09709302749160652
-1.3499999999999996,0.08850799143740212,0.16038332734191968,0.0013879642515861475,0.10001868966924389
-1.2999999999999998,0.09680048458561037,0.1713685920478074,0.0016374034242934725,0.10296813435998739
-1.25,0.10564977366685524,0.18264908538902191,0.0019280953084556505,0.10593832288784974
-1.1999999999999993,0.11506967022170839,0.19418605498321312,0.0022652292064772326,0.10892608851627532
-1.1499999999999995,0.12507193563715036,0.20593626871997492,0.0026548619929193844,0.11192814078161979
-1.0999999999999996,0.13566606094638275,0.21785217703255064,0.0031038171258060666,0.11494107034211655
-1.0499999999999998,0.14685905637589597,0.2298821406842331,0.0036196589162505446,0.11796135433843628
-1,0.15865525393145705,0.24197072451914337,0.004210700388928517,0.12098536225957168
-0.9499999999999993,0.17105612630848196,0.25405905646918914,0.004886023499032828,0.1240093623053686
-0.8999999999999995,0.1840601253467596,0.266085249898755,0.005655501153588328,0.12702952823459454
-0.8499999999999996,0.19766254312269246,0.2779848861309966,0.006529815660430473,0.13004194668499788
