t,s,trend
0.398,99.92363224890303,103.81326805941566
0.4,99.39697549846879,103.83325278586544
0.402,101.0058667482606,103.85313218096513
0.404,99.13375948815977,103.87333335431478
0.406,102.64947434869126,103.8931601062124
0.40800000000000003,101.96555993417442,103.91369000108214
0.41000000000000003,105.00313952986635,103.93408311306898
0.41200000000000003,107.86460980537717,103.95508374097496
0.41400000000000003,108.04626849522207,103.97665666293604
0.41600000000000004,109.16419689268302,103.99826591663508
0.41800000000000004,107.18530322336115,104.02009875601361
0.42,107.82606939775286,104.04153581665828
0.422,109.86060792892654,104.06310103053784
0.424,110.07729368020037,104.08507315212363
0.426,109.20505793686162,104.10708861085966
0.428,107.94581633537267,104.12892962244703
0.43,107.89803953528353,104.15051878571411
0.432,109.98324917080171,104.17209839362117
0.434,109.05305410039553,104.19409504345533
0.436,108.8387981452601,104.21590565427542
0.438,106.34091723472567,104.23767341390447
0.44,107.30250889512689,104.25894159735142
0.442,109.83446757331498,104.28040209913046
0.444,112.79778873436891,104.30236899264511
0.446,114.46424583808978,104.32492855039199
0.448,110.65856163323845,104.3478213995596
0.45,111.63488064448184,104.36995311188626
0.452,112.56810378556837,104.39228008801516
0.454,111.87898251054504,104.41479370877227
0.456,112.2425677645476,104.43716950527437
0.458,110.53015642396437,104.45961801882729
0.46,111.89525353522276,104.48172405011208
0.462,111.26289308186227,104.50410310081912
0.464,108.16215252862351,104.5263556794355
0.466,107.47281793781158,104.54798810994122
0.468,110.1174826052683,104.56948267352878
0.47000000000000003,109.4810248259704,104.59150617004984
0.47200000000000003,110.93797982824503,104.61340237501503
0.47400000000000003,112.8386845303925,104.63558997098067
0.47600000000000003,112.87013113886815,104.65815770788676
0.47800000000000004,112.18133743869926,104.68073173411453
0.48000000000000004,111.14080153811703,104.70316800160226
0.482,112.63344187133626,104.72539616190988
0.484,110.51326323599572,104.74792285028416
0.486,111.02210536234567,104.77002550293136
0.488,110.46935715227366,104.79222992400383
0.49,106.01572177486426,104.81432379543429
0.492,103.36508668395324,104.83552693978926
0.494,105.07952604967609,104.85619995712605
0.496,104.74099114215998,104.87721586233599
0.498,106.26702203147505,104.89816406056443
0.5,109.87629319552981,104.91941746497072
0.502,112.79522154182945,104.94139272360982
0.504,114.18433384663685,104.96395176791819
0.506,114.98327925194377,104.98678863468751
0.508,114.60971201918704,105.0097852905379
0.51,117.86762906963112,105.03270723294175
0.512,119.14835043787134,105.05628075875568
0.514,116.67082937938056,105.08011042884326
0.516,116.36932648636405,105.10344459471914
0.518,112.39804838598178,105.1267184600164
0.52,112.0279332542867,105.1491980696936
0.522,106.85527117565721,105.17160365634446
0.524,109.38833792634149,105.19297471057959
0.526,108.1665862720426,105.21485237816486
0.528,107.35623516630517,105.23648569541928
0.53,107.05253957792047,105.25795694245254
0.532,108.24635648780198,105.27936745036813
0.534,109.5815231187238,105.30101672166569
0.536,110.71676948000025,105.32293302628943
0.538,109.60495683373482,105.34507638018543
0.54,106.95390936797496,105.36699737155217
0.542,106.23157743464347,105.38838815342577
0.544,106.78095182098829,105.4096344689127
0.546,105.2300948859605,105.4309906592769
0.548,105.12155382368434,105.45203667825409
0.55,102.9468223828482,105.47306098901882
0.552,102.95211012645746,105.49365035349538
0.554,103.21000881690986,105.51424077552068
0.556,102.96132403520994,105.53488277728405
0.558,102.68002048469755,105.55547504209109
0.56,105.93984183421153,105.57601104618803
0.562,107.40621474907238,105.59719901455487
0.5640000000000001,109.56313385056573,105.61868025750469
0.5660000000000001,107.77563016329756,105.64059288427481
0.5680000000000001,108.11402798601017,105.66214801030748
0.5700000000000001,110.36908562190955,105.68377081590468
0.5720000000000001,110.27956680400122,105.70584463302906
0.5740000000000001,106.10094595404878,105.72790054638986
0.5760000000000001,106.77668044128716,105.74912073558068
0.5780000000000001,103.15941976185323,105.77047607166894
