date,fx_rate,ccy
2021-06-29,72.1777,USD
2021-06-26,72.1694,USD
2021-06-25,72.326,USD
2021-06-24,72.6671,USD
2021-06-23,73.1661,USD
2021-06-22,73.1987,USD
2021-06-19,72.2216,USD
2021-06-18,72.5048,USD
2021-06-17,72.0323,USD
2021-06-16,71.8318,USD
2021-06-12,71.6797,USD
2021-06-11,72.1974,USD
2021-06-10,72.0829,USD
2021-06-09,72.8256,USD
2021-06-08,72.9294,USD
2021-06-05,73.2721,USD
2021-06-04,73.2636,USD
2021-06-03,73.4979,USD
2021-06-02,73.2411,USD
2021-06-01,73.2965,USD
2021-05-29,73.587,USD
2021-05-28,73.458,USD
2021-05-27,73.4737,USD
2021-05-26,73.3963,USD
2021-05-25,73.5266,USD
2021-05-22,73.5803,USD
2021-05-21,73.6007,USD
2021-05-20,73.6778,USD
2021-05-19,73.6992,USD
2021-05-18,73.8537,USD
2021-05-15,73.9968,USD
2021-05-14,74.3566,USD
2021-05-13,74.04,USD
2021-05-12,74.1567,USD
2021-05-08,74.1373,USD
2021-05-07,74.577,USD
2021-05-06,74.8617,USD
2021-05-05,75.2567,USD
2021-05-01,74.8451,USD
2021-04-30,74.3823,USD
2021-04-29,74.939,USD
2021-04-28,74.9578,USD
2021-04-27,74.768,USD
2021-04-24,75.0893,USD
2021-04-23,76.4217,USD
2021-04-22,76.8198,USD
2021-04-21,76.0155,USD
2021-04-20,76.2491,USD
2021-04-17,75.5535,USD
2021-04-16,76.9808,USD
2021-04-15,75.6826,USD
2021-04-14,77.2535,USD
2021-04-13,77.5104,USD
2021-04-10,77.1657,USD
2021-04-09,77.1011,USD
2021-04-08,77.773,USD
2021-04-07,76.3802,USD
2021-04-06,76.6052,USD
2021-04-03,76.0734,USD
2021-04-02,75.8073,USD
2021-04-01,75.6373,USD
2021-03-31,75.7023,USD
2021-03-30,75.8287,USD
2021-03-27,75.7576,USD
2021-03-26,76.1741,USD
2021-03-25,76.1535,USD
2021-03-24,75.3585,USD
2021-03-23,74.6085,USD
2021-03-20,74.139,USD
2021-03-19,73.6582,USD
2021-03-18,73.1019,USD
2021-03-17,72.9619,USD
2021-03-16,73.2317,USD
2021-03-13,73.5081,USD
2021-03-12,73.4996,USD
2021-03-11,74.0393,USD
2021-03-10,74.264,USD
2021-03-06,74.4275,USD
2021-03-05,73.7864,USD
2021-03-04,73.5187,USD
2021-03-03,74.5755,USD
2021-03-02,74.0448,USD
2021-02-27,74.4373,USD
2021-02-26,73.4747,USD
2021-02-25,73.7532,USD
2021-02-21,73.9833,USD
2021-02-20,73.9717,USD
2021-02-19,73.7755,USD
2021-02-18,73.7669,USD
2021-02-17,73.2895,USD
2021-02-16,73.3092,USD
2021-02-13,73.9378,USD
2021-02-12,73.7579,USD
2021-02-11,73.8526,USD
2021-02-10,74.1192,USD
2021-02-09,74.2602,USD
2021-02-06,75.1107,USD
2021-02-05,75.7293,USD
2021-02-04,76.0801,USD
2021-02-03,75.9051,USD
2021-02-02,75.5053,USD
2021-01-30,76.2527,USD
2021-01-29,76.1854,USD
2021-01-28,75.04,USD
2021-01-27,75.6354,USD
2021-01-26,74.8569,USD
2021-01-23,74.3615,USD
2021-01-22,73.3694,USD
2021-01-21,73.355,USD
2021-01-20,73.7243,USD
2021-01-19,73.9735,USD
2021-01-16,73.5453,USD
2021-01-15,73.7961,USD
2021-01-14,73.5264,USD
2021-01-13,74.2663,USD
2021-01-12,74.5157,USD
2021-01-01,73.8757,USD
2020-12-31,73.8757,USD
2020-12-30,73.6567,USD
2020-12-29,73.7175,USD
2020-12-26,73.6921,USD
2020-12-25,74.8392,USD
2020-12-24,75.4571,USD
2020-12-23,75.3498,USD
2020-12-22,74.6721,USD
2020-12-19,73.3155,USD
2020-12-18,72.9781,USD
2020-12-17,73.4201,USD
2020-12-16,73.4453,USD
2020-12-15,72.9272,USD
2020-12-12,73.1195,USD
2020-12-11,73.7124,USD
2020-12-10,73.3057,USD
2020-12-09,73.6618,USD
2020-12-08,74.2506,USD
2020-12-05,74.2529,USD
2020-12-04,75.1996,USD
2020-12-03,75.6151,USD
2020-12-02,76.3203,USD
2020-12-01,76.1999,USD
2020-11-28,75.8599,USD
2020-11-27,75.4518,USD
2020-11-26,75.4727,USD
2020-11-25,75.8146,USD
2020-11-24,75.76,USD
2020-11-21,76.012,USD
2020-11-20,76.2627,USD
2020-11-19,75.9268,USD
2020-11-18,76.253,USD
2020-11-17,76.9197,USD
2020-11-14,77.3262,USD
2020-11-13,77.1148,USD
2020-11-12,76.2075,USD
2020-11-11,76.3978,USD
2020-11-10,76.9515,USD
2020-11-07,77.1875,USD
2020-11-06,78.4559,USD
2020-11-04,80.0006,USD
2020-11-03,80.5749,USD
2020-10-31,79.3323,USD
2020-10-30,78.8699,USD
2020-10-29,77.552,USD
2020-10-28,76.4556,USD
2020-10-27,76.4443,USD
2020-10-24,76.4667,USD
2020-10-23,77.0809,USD
2020-10-22,77.0322,USD
2020-10-21,77.778,USD
2020-10-20,77.9241,USD
2020-10-17,77.9644,USD
