date,benchmark_growth,strategy_growth,mkt_growth,rf_growth
1975-05-31,15.829171265909329,17.285798498902167,49.68501426679955,2.9562068722836488
1975-06-30,16.27634535417127,17.901677094585967,52.28850901437984,2.968327320460012
1975-07-31,15.818166232451349,17.217509804847463,49.093681113601235,2.9825752915982195
1975-08-31,15.668684561554684,16.971885288235672,47.93016087120889,2.9968916529978906
1975-09-30,15.417985608569808,16.569793039281887,46.1423658707128,3.0127751787587798
1975-10-31,15.913673845885326,17.25119125762019,48.85092274732364,3.029646719759829
1975-11-30,16.188980403419144,17.627650586842034,50.34087589111701,3.0420682713108445
1975-12-31,16.137175666128204,17.517706277255954,49.7770580811365,3.056670199013136
1976-01-31,17.194160672259603,18.985625182896385,56.06390051678403,3.0710365489484976
1976-02-29,17.280131475620898,19.088288193144635,56.43392226019481,3.0814780732149227
1976-03-31,17.549701526640586,19.443471748264482,57.96892494567212,3.093803985507783
1976-04-30,17.492664996679004,19.340043280492466,57.34865744875343,3.1067979622469153
1976-05-31,17.440187001688965,19.251428276628097,56.79237547150052,3.118293114707229
1976-06-30,17.868343592580434,19.82331601787068,59.33667389262374,3.13170177510047
1976-07-31,17.856729169245256,19.78784513064426,58.980653849268,3.1464207734434417
1976-08-31,17.881728590082197,19.800927094925072,58.89808093387902,3.1596357406919044
1976-09-30,18.145484086785913,20.149918434973127,60.376422765319376,3.1735381379509486
1976-10-31,18.000320214091623,19.90744774980562,59.162856667736456,3.1865496443165475
1976-11-30,18.104722071333356,20.03618257858769,59.612494378411256,3.1992958428938136
1976-12-31,18.688599358133857,20.90246919479802,63.21905028830514,3.212093026265389
1977-01-31,18.377434178820927,20.397674563743646,60.886267332666684,3.2236565611599444
1977-02-28,18.263494086912235,20.193348413495627,59.91817568207728,3.2349393591240045
1977-03-31,18.207790429947153,20.07668508254562,59.324985742824715,3.2472321286886756
1977-04-30,18.290635876403414,20.17437767447159,59.63940816726169,3.2595716107776926
1977-05-31,18.22570411904218,20.040460902667622,58.99530255905527,3.27163202573757
1977-06-30,18.72782226752179,20.808887325404285,62.00996251982299,3.284718553840521
1977-07-31,18.648229022884827,20.643114673250633,61.222435995821236,3.2985143717666507
1977-08-31,18.567109226635278,20.46885715871604,60.42042208427598,3.313027835002424
1977-09-30,18.62188219885385,20.515679669466607,60.51709475961082,3.327273854692934
1977-10-31,18.305310201473336,19.940186360738526,58.16297977346196,3.3435774965809295
1977-11-30,18.762942956510166,20.634400256260534,60.78031386326775,3.3602953840638334
1977-12-31,18.880211349988357,20.776906583030332,61.24224424862857,3.376760831445746
1978-01-31,18.405374034536152,19.91328945166727,57.86167236610427,3.3933069595198297
1978-02-28,18.363041674256717,19.789246252791262,57.32934498033612,3.4089161715336207
1978-03-31,18.722039138988436,20.343235207612455,59.26707684067148,3.4269834272427495
1978-04-30,19.560786492415115,21.66279539208846,64.25736471065602,3.4454891377498607
1978-05-31,19.832681424659686,22.045103614471056,65.71600688958793,3.463061132352385
1978-06-30,19.772191746314476,21.898524087567797,64.96027281035767,3.4817616624670884
1978-07-31,20.388095519212172,22.816381462107568,68.64352027870494,3.501259527776904
1978-08-31,20.88454564510499,23.518523912185234,71.60205600271713,3.520866581132455
1978-09-30,20.86470532674214,23.434679285617744,71.02207934909512,3.542695953935476
1978-10-31,19.764092120756494,21.6234877844134,63.04629983819174,3.566786286422237
1978-11-30,20.17024421383804,22.218419008393035,65.19617866267407,3.5917537904271923
1978-12-31,20.416321193246866,22.5333856704472,66.27843522847445,3.6197694699925247
1979-01-31,21.005332059672035,23.37101733819259,69.59235698989818,3.647641694911467
1979-02-28,20.78477607304548,22.93880499625211,67.62289328708405,3.6742694792843213
1979-03-31,21.543420399711643,24.062594044725905,72.01161906141581,3.704031062066524
1979-04-30,21.70930473678942,24.244801354075694,72.54450504247028,3.7336633105630566
1979-05-31,21.64743321828957,24.033069034472636,71.53613642237994,3.7642793497096734
1979-06-30,22.23949051680979,24.95810297425157,74.86972037966284,3.7947700124423216
1979-07-31,22.501916504908145,25.314195019372164,76.06014893369948,3.823989741538128
1979-08-31,23.29735925335665,26.56550146215614,80.85193831652255,3.8534344625479715
1979-09-30,23.395208162220747,26.62917257376243,80.8600235103542,3.8854179685871193
