month,factor,return
2012-10-01,liq_ru,0.054852
2012-11-01,liq_ru,-0.023017
2012-12-01,liq_ru,-0.040514
2013-01-01,liq_ru,0.009706
2013-02-01,liq_ru,0.034691
2013-03-01,liq_ru,0.043849
2013-04-01,liq_ru,0.003084
2013-05-01,liq_ru,-0.002837
2013-06-01,liq_ru,0.025163
2013-07-01,liq_ru,-0.044811
2013-08-01,liq_ru,-0.004814
2013-09-01,liq_ru,-0.04273
2013-10-01,liq_ru,-0.040394
2013-11-01,liq_ru,-0.017822
2013-12-01,liq_ru,0.00456
2014-01-01,liq_ru,0.056618
2014-02-01,liq_ru,-0.036240999999999995
2014-03-01,liq_ru,7.639999999999999e-4
2014-04-01,liq_ru,0.030524
2014-05-01,liq_ru,-0.057861
2014-06-01,liq_ru,6.2e-5
2014-07-01,liq_ru,0.021827
2014-08-01,liq_ru,0.037666
2014-09-01,liq_ru,-0.030150999999999997
2014-10-01,liq_ru,-0.058383000000000004
2014-11-01,liq_ru,-0.0020269999999999997
2014-12-01,liq_ru,0.002001
2015-01-01,liq_ru,-0.122485
2015-02-01,liq_ru,-0.082798
2015-03-01,liq_ru,0.001901
2015-04-01,liq_ru,-0.063528
2015-05-01,liq_ru,0.017541
2015-06-01,liq_ru,-0.027125
2015-07-01,liq_ru,0.001465
2015-08-01,liq_ru,0.030283
2015-09-01,liq_ru,0.051168
2015-10-01,liq_ru,-0.02794
2015-11-01,liq_ru,-0.039946
2015-12-01,liq_ru,0.06082
2016-01-01,liq_ru,-0.006239
2016-02-01,liq_ru,0.00914
2016-03-01,liq_ru,-0.031625
2016-04-01,liq_ru,-0.017938
2016-05-01,liq_ru,0.04775
2016-06-01,liq_ru,-0.004822
2016-07-01,liq_ru,-0.026969
2016-08-01,liq_ru,-0.004439
2016-09-01,liq_ru,-0.001222
2016-10-01,liq_ru,-0.005938
2016-11-01,liq_ru,-0.023954
2016-12-01,liq_ru,-0.036478000000000003
2017-01-01,liq_ru,0.035352999999999996
2017-02-01,liq_ru,0.057325999999999995
2017-03-01,liq_ru,0.014419999999999999
