month-01,cape_excess_yield
1930-04-01,-0.0119147697
1930-05-01,-0.0115339833
1930-06-01,-0.0089774381
1930-07-01,-0.0090462645
1930-08-01,-0.0067573794
1930-09-01,-0.0042387408
1930-10-01,0.0030636907
1930-11-01,0.0070525207
1930-12-01,0.0104549221
1931-01-01,0.00880631
1931-02-01,0.0056344747
1931-03-01,0.0040196373
1931-04-01,0.0096311144
1931-05-01,0.0159297035
1931-06-01,0.016369825
1931-07-01,0.0135850278
1931-08-01,0.015493992
1931-09-01,0.0270533108
1931-10-01,0.0378135665
1931-11-01,0.0346451909
1931-12-01,0.0541151649
1932-01-01,0.0540169821
1932-02-01,0.0526590801
1932-03-01,0.0525714393
1932-04-01,0.0849792577
1932-05-01,0.1013003326
1932-06-01,0.124109761
1932-07-01,0.1154099184
1932-08-01,0.0580898534
1932-09-01,0.046926287
1932-10-01,0.0614115953
1932-11-01,0.0606126862
1932-12-01,0.0625514315
1933-01-01,0.0554038506
1933-02-01,0.0672467476
1933-03-01,0.0658475904
1933-04-01,0.0530783084
1933-05-01,0.0274901632
1933-06-01,0.0152940455
1933-07-01,0.0136921835
1933-08-01,0.0193802198
1933-09-01,0.0194265398
1933-10-01,0.0271360424
1933-11-01,0.025048617
1933-12-01,0.0233765259
1934-01-01,0.0188883055
1934-02-01,0.0154916381
1934-03-01,0.0199775837
1934-04-01,0.0193521564
1934-05-01,0.027744982
1934-06-01,0.0280420452
1934-07-01,0.0315302914
1934-08-01,0.0355880815
1934-09-01,0.0400187816
1934-10-01,0.0373663773
1934-11-01,0.0349643602
1934-12-01,0.0325188804
1935-01-01,0.0353110252
1935-02-01,0.0399112901
1935-03-01,0.0454421528
1935-04-01,0.0407226122
1935-05-01,0.0336500432
1935-06-01,0.0282479192
1935-07-01,0.0232537554
1935-08-01,0.0185216738
1935-09-01,0.0170952391
1935-10-01,0.0153064654
1935-11-01,0.0090440331
1935-12-01,0.0095898296
1936-01-01,0.0063450084
1936-02-01,0.0030319918
1936-03-01,0.0011986641
1936-04-01,0.0004605313
1936-05-01,0.0038968865
1936-06-01,0.0031610942
1936-07-01,0.0022336429
1936-08-01,0.0027788018
1936-09-01,0.0015801041
1936-10-01,-0.0015323637
1936-11-01,-0.0034157639
1936-12-01,-0.0026171082
1937-01-01,-0.0019147818
1937-02-01,-0.0025544666
1937-03-01,-0.000785241
1937-04-01,0.0032817335
1937-05-01,0.0062037965
1937-06-01,0.0072755469
1937-07-01,0.0071982378
1937-08-01,0.0074561423
1937-09-01,0.0165292955
1937-10-01,0.0263379832
1937-11-01,0.0326978686
1937-12-01,0.0329923814
1938-01-01,0.0288584668
