date	total_return_net_index
2019-03-15	3735.01
2019-03-18	3745.52
2019-03-19	3759.96
2019-03-20	3776.48
2019-03-21	3781.88
2019-03-22	3759.09
2019-03-25	3766.46
2019-03-26	3789.14
2019-03-27	3751.22
2019-03-28	3758.64
2019-03-29	3765.72
2019-04-01	3802.14
2019-04-02	3811.98
2019-04-03	3818.84
2019-04-04	3823.63
2019-04-05	3831.91
2019-04-08	3860.69
2019-04-09	3876.08
2019-04-10	3888.6
2019-04-11	3847.69
2019-04-12	3860.16
2019-04-15	3838.14
2019-04-16	3860.34
2019-04-17	3873.04
2019-04-18	3861.79
2019-04-19	3866.46
2019-04-22	3897.89
2019-04-23	3902.02
2019-04-24	3889.31
2019-04-25	3862
2019-04-26	3866.19
2019-04-29	3875.4
2019-04-30	3859.55
2019-05-02	3883.53
2019-05-03	3896.7
2019-05-06	3896.67
2019-05-07	3874.54
2019-05-08	3844.54
2019-05-10	3799.87
2019-05-13	3794.19
2019-05-14	3875.04
2019-05-15	3864.2
2019-05-16	3904.47
2019-05-17	3898.98
2019-05-20	3890.16
2019-05-21	3958.05
2019-05-22	3991.6
2019-05-23	3961.2
2019-05-24	3965.94
2019-05-27	3986.7
2019-05-28	3951.62
2019-05-29	3999.12
2019-05-30	4028.9
2019-05-31	4038.61
2019-06-03	4136.49
2019-06-04	4100.67
2019-06-05	4093.93
2019-06-06	4134.34
2019-06-07	4136.95
2019-06-10	4157.46
2019-06-11	4209.67
2019-06-13	4223.85
2019-06-14	4199.09
2019-06-17	4193.48
2019-06-18	4237.85
2019-06-19	4234.8
2019-06-20	4279.26
2019-06-21	4251.45
2019-06-24	4254.04
2019-06-25	4240.66
2019-06-26	4273.27
2019-06-27	4280.23
2019-06-28	4258.97
2019-07-01	4313.82
2019-07-02	4326.66
2019-07-03	4349.18
2019-07-04	4387.25
2019-07-05	4375.78
2019-07-08	4378.5
2019-07-09	4379.52
2019-07-10	4379.66
2019-07-11	4328.32
2019-07-12	4313.32
2019-07-15	4281.84
2019-07-16	4280.97
2019-07-17	4274.22
2019-07-18	4259.52
2019-07-19	4256.33
2019-07-22	4230.61
2019-07-23	4257.1
2019-07-24	4228.5
2019-07-25	4257.04
2019-07-26	4280.15
2019-07-29	4299.99
2019-07-30	4310.09
2019-07-31	4317.69
2019-08-01	4301.8
2019-08-02	4215.87
2019-08-05	4175.31
2019-08-06	4229.19
2019-08-07	4216
2019-08-08	4250.22
